City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
185,yuzhno-kurilsk,44.0306,145.8556,2.43,80,38,6.63,RU,1699739813
186,mkushi,-13.6202,29.3939,19.98,75,23,2.78,ZM,1699739814
187,karratha,-20.7377,116.8463,22.73,61,4,4.81,AU,1699739814
188,hasaki,35.7333,140.8333,10.22,74,100,6.9,JP,1699739815
189,jamestown,42.097,-79.2353,5.77,73,100,3.6,US,1699739815
190,mohammedia,33.7066,-7.3944,19.23,100,100,5.14,MA,1699739579
191,harnai,30.1005,67.9374,15.18,32,57,1.13,PK,1699739816
192,iqaluit,63.7506,-68.5145,-10.15,85,75,6.17,CA,1699739817
193,colonia,50.9333,6.95,6.57,88,40,1.54,DE,1699739817
194,arraial do cabo,-22.9661,-42.0278,25.98,83,0,6.17,BR,1699739639
195,ginir,7.1333,40.7,14.05,84,77,1.73,ET,1699739818
196,kargopol',61.5071,38.9456,2.99,99,100,0.76,RU,1699739819
197,west valley,46.5921,-120.6051,13.75,48,20,9.26,US,1699739819
198,palikir - national government center,6.9248,158.1611,26.41,94,100,1.54,FM,1699739819
199,saldanha,-33.0117,17.9442,16.03,88,1,3.5,ZA,1699739820
200,ghormach,35.7306,63.7826,10.65,54,1,3.35,AF,1699739820
201,oum hadjer,13.2954,19.6966,27.99,22,42,3.71,TD,1699739821
202,lebu,-37.6167,-73.65,10.65,54,24,5.81,CL,1699739821
203,koungou,-12.7336,45.2042,26.84,83,0,1.03,YT,1699739822
204,college,64.8569,-147.8028,-9.03,86,75,1.54,US,1699739822
205,moroto,2.5345,34.6666,20.57,73,17,3.3,UG,1699739823
206,mugumu,-1.85,34.7,18.35,77,92,1.39,TZ,1699739823
207,sathupalli,17.2497,80.869,20.9,81,56,0.06,IN,1699739824
208,dapa,9.7594,126.0531,27.21,79,9,1.97,PH,1699739824
209,tofol,5.3248,163.0078,25.88,94,100,1.03,FM,1699739825
210,kone,-21.0595,164.8658,24.84,58,34,3.42,NC,1699739826
211,runing,33.0011,114.3542,1.29,86,2,2.19,CN,1699739826
212,worland,44.0169,-107.9554,12.25,30,0,1.54,US,1699739809
213,harper,4.375,-7.7169,25.63,88,45,2.82,LR,1699739827
214,nagqu,31.5,92.0,-5.42,61,100,5.41,CN,1699739828
215,walvis bay,-22.9575,14.5053,17.53,77,97,0.0,NA,1699739828
216,sen monorom,12.45,107.2,19.26,96,89,1.89,KH,1699739829
217,al ghayzah,16.2079,52.176,27.43,68,100,3.32,YE,1699739829
218,bage,-31.3314,-54.1069,22.58,90,83,2.46,BR,1699739830
219,al kharijah,25.4514,30.5464,26.44,38,100,3.69,EG,1699739830
220,richards bay,-28.783,32.0377,22.04,85,100,5.35,ZA,1699739671
221,monrovia,6.3005,-10.7969,24.87,84,49,1.24,LR,1699739831
222,gaspe,48.8334,-64.4819,0.95,80,100,2.57,CA,1699739625
223,pangody,65.85,74.4859,0.25,98,100,6.64,RU,1699739833
224,urumqi,43.801,87.6005,-1.47,100,100,1.0,CN,1699739835
225,hithadhoo,-0.6,73.0833,27.21,82,60,5.06,MV,1699739835
226,mildura,-34.2,142.15,14.48,58,39,6.4,AU,1699739836
227,mount gambier,-37.8333,140.7667,13.22,57,7,3.87,AU,1699739837
228,sihanoukville,10.6093,103.5296,26.97,89,40,2.06,KH,1699739837
229,i-n-salah,27.1935,2.4607,23.12,25,0,4.68,DZ,1699739838
230,haiku-pauwela,20.9219,-156.3051,28.98,54,40,9.77,US,1699739838
231,punta arenas,-53.15,-70.9167,8.06,57,0,8.75,CL,1699739839
232,kourou,5.1552,-52.6478,26.91,83,6,5.25,GF,1699739839
233,karwar,14.8,74.1333,24.85,65,26,3.29,IN,1699739840
234,katima mulilo,-17.5,24.2667,24.88,30,39,2.6,NA,1699739841
235,vorkuta,67.5,64.0,-6.61,97,100,3.83,RU,1699739841
236,malango,-2.9627,119.9001,19.77,96,97,0.79,ID,1699739842
237,male,4.1748,73.5089,26.97,89,75,1.54,MV,1699739842
238,saynshand,44.8824,110.1163,-15.52,82,3,2.03,MN,1699739842
239,barra de santo antonio,-9.4047,-35.5072,24.6,72,62,3.89,BR,1699739843
240,hermantown,46.8069,-92.2383,3.4,79,100,5.14,US,1699739759
241,motueka,-41.1333,173.0167,21.17,38,0,0.66,NZ,1699739844
242,guerrero negro,27.9769,-114.0611,24.79,23,0,4.3,MX,1699739845
243,huilong,31.8111,121.655,10.72,89,100,8.43,CN,1699739845
244,paradip garh,20.3167,86.6167,22.59,69,6,3.23,IN,1699739846
245,atafu village,-8.5421,-172.5159,28.82,75,51,3.53,TK,1699739846
246,kaman,27.65,77.2667,18.11,61,0,2.64,IN,1699739847
247,port augusta,-32.5,137.7667,18.5,46,49,8.83,AU,1699739847
248,tralee,52.2704,-9.7026,8.16,90,100,8.57,IE,1699739848
249,atbara,17.7022,33.9864,32.39,26,96,1.15,SD,1699739848
250,zhongshu,24.5167,103.7667,12.55,89,2,0.99,CN,1699739849
251,ribeira brava,32.65,-17.0667,22.35,79,100,2.53,PT,1699739850
252,hadibu,12.65,54.0333,26.53,86,100,6.07,YE,1699739850
253,humberto de campos,-2.5983,-43.4611,26.04,75,4,3.37,BR,1699739851
254,kargil,34.5667,76.1,-0.7,52,4,0.65,IN,1699739851
255,fale old settlement,-9.3852,-171.2468,28.77,74,96,3.0,TK,1699739852
256,okha,53.5739,142.9478,-6.12,90,100,8.44,RU,1699739852
257,stanley,54.868,-1.6985,4.6,95,75,1.03,GB,1699739553
258,hami,42.8,93.45,4.12,26,100,2.95,CN,1699739853
259,liman,48.9884,37.8023,8.9,54,100,6.69,UA,1699739854
260,geraldton,-28.7667,114.6,16.23,77,47,4.63,AU,1699739854
261,poronaysk,49.2167,143.1167,-6.58,76,91,5.17,RU,1699739855
262,jumla,29.2747,82.1838,5.14,69,0,1.65,NP,1699739855
263,obo,5.3998,26.4869,20.78,95,90,1.34,CF,1699739856
264,zyrya,40.3661,50.2917,16.05,77,100,9.85,AZ,1699739857
265,berezovyy,51.6667,135.7,-11.05,57,7,2.52,RU,1699739857
266,simanggang,1.2472,111.4528,23.99,100,99,0.0,MY,1699739858
267,lido di ostia,41.7321,12.2765,14.47,60,20,1.54,IT,1699739859
268,nuuk,64.1835,-51.7216,-5.07,73,34,4.47,GL,1699739859
269,aldama,22.9167,-98.0667,21.94,72,100,3.09,MX,1699739860
270,ulety,51.3572,112.4849,-14.41,96,10,1.71,RU,1699739860
271,broome,42.2506,-75.833,5.39,75,100,4.12,US,1699739861
272,york,40.1254,-77.0,11.44,51,100,2.33,US,1699739605
273,selfoss,63.9331,-20.9971,1.69,83,100,4.72,IS,1699739862
274,altay,47.8667,88.1167,-2.15,81,97,2.72,CN,1699739862
275,ca mau,9.1769,105.15,25.06,94,62,2.33,VN,1699739863
276,onguday,50.75,86.15,-4.44,95,97,1.48,RU,1699739863
277,kapuskasing,49.4169,-82.4331,-1.95,93,75,3.6,CA,1699739863
278,balabac,7.9868,117.0645,27.47,79,19,3.36,PH,1699739864
279,vernon,50.2581,-119.2691,12.34,59,97,2.68,CA,1699739864
280,pedregal,8.3667,-82.4333,29.05,84,75,3.58,PA,1699739865
281,ojuelos de jalisco,21.8667,-101.5833,19.32,58,100,4.2,MX,1699739865
282,tual,-5.6667,132.75,27.87,78,83,4.32,ID,1699739866
283,hailun,47.45,126.9333,-17.25,95,13,1.16,CN,1699739866
284,pecos,31.4229,-103.4932,13.5,66,100,0.0,US,1699739867
285,st. john's,47.5649,-52.7093,2.86,93,100,9.77,CA,1699739663
286,mormugao,15.4,73.8,25.59,73,20,3.09,IN,1699739868
287,lionel town,17.8101,-77.2406,31.94,73,43,4.76,JM,1699739868
288,freetown,8.484,-13.2299,25.84,94,75,1.54,SL,1699739719
289,luderitz,-26.6481,15.1594,17.87,59,0,9.86,NA,1699739869
290,gwanda,-20.9333,29.0,22.48,39,44,2.55,ZW,1699739869
291,colombo,6.9319,79.8478,26.15,83,99,0.71,LK,1699739870
292,nemuro,43.3236,145.575,1.79,69,3,6.93,JP,1699739870
293,azadshahr,34.7909,48.5707,6.27,70,0,1.03,IR,1699739871
294,holualoa,19.6228,-155.9522,26.42,75,75,3.09,US,1699739871
295,anar darah,32.7587,61.654,12.89,56,11,3.65,AF,1699739872
296,flying fish cove,-10.4217,105.6791,25.82,78,100,4.12,CX,1699739872
297,imbituba,-28.24,-48.6703,22.09,98,100,1.01,BR,1699739873
298,capao da canoa,-29.7456,-50.0097,22.54,89,100,6.6,BR,1699739873
299,la passe,45.5549,-0.8967,14.99,95,100,10.13,FR,1699739874
300,newman,37.3138,-121.0208,21.75,36,68,0.89,US,1699739874
301,vilyuchinsk,52.9306,158.4028,1.15,72,58,17.59,RU,1699739874
302,leava,-14.3,-178.1667,28.0,81,100,5.75,WF,1699739875
303,castillos,-34.1667,-53.8333,18.78,82,19,2.82,UY,1699739875
304,dawei,14.0833,98.2,24.77,89,100,1.32,MM,1699739876
305,barah,13.7,30.3667,29.35,40,80,2.08,SD,1699739876
306,yarmouth,41.7057,-70.2286,8.87,63,0,8.49,US,1699739800
307,sidi khaled,34.387,4.9879,19.58,49,5,3.19,DZ,1699739877
308,dali,25.7,100.1833,9.26,87,2,0.72,CN,1699739877
309,cidreira,-30.1811,-50.2056,22.18,90,100,4.37,BR,1699739878
310,ishigaki,24.3448,124.1572,23.07,94,75,9.77,JP,1699739878
311,kokstad,-30.5472,29.4241,14.34,92,99,1.26,ZA,1699739879
312,tchintabaraden,15.8969,5.7985,26.07,14,3,3.87,NE,1699739881
313,ancud,-41.8697,-73.8203,8.18,62,42,9.05,CL,1699739881
314,queenstown,-31.8976,26.8753,14.01,75,95,3.28,ZA,1699739881
315,holly springs,35.6513,-78.8336,12.54,69,100,0.89,US,1699739772
316,sitia,35.2,26.0986,21.02,80,30,4.68,GR,1699739882
317,nar'yan-mar,67.6713,53.087,-8.83,95,19,3.13,RU,1699739883
318,sheopur,25.6667,76.7,17.85,64,0,1.87,IN,1699739884
319,ballina,-28.8667,153.5667,23.21,68,10,3.9,AU,1699739884
320,malanje,-9.5402,16.341,18.04,97,86,0.64,AO,1699739885
321,aripuana,-9.1667,-60.6333,29.63,57,97,1.31,BR,1699739885
322,east london,-33.0153,27.9116,19.05,74,62,7.47,ZA,1699739886
323,turbat,26.0023,63.044,23.26,19,56,1.62,PK,1699739887
324,dudinka,69.4058,86.1778,-6.32,96,100,4.02,RU,1699739887
325,san felipe,10.3399,-68.7425,25.36,92,99,1.07,VE,1699739888
326,san antonio de pale,-1.4014,5.6325,26.24,83,100,4.98,GQ,1699739889
327,al muwayh,22.4333,41.7583,22.01,30,46,5.21,SA,1699739889
328,fortuna foothills,32.6578,-114.4119,26.79,15,0,4.63,US,1699739890
329,port macquarie,-31.4333,152.9167,24.94,69,10,5.24,AU,1699739786
330,awjilah,29.1081,21.2869,21.01,44,0,2.71,LY,1699739891
331,ratnagiri,16.9833,73.3,26.36,58,100,2.7,IN,1699739892
332,canutama,-6.5339,-64.3831,32.56,46,78,0.6,BR,1699739892
333,metlili chaamba,32.2667,3.6333,20.52,30,0,3.09,DZ,1699739893
334,asadabad,34.7824,48.1185,7.97,41,64,0.68,IR,1699739893
335,sake,-1.5736,29.045,18.07,96,100,0.19,CD,1699739894
336,klyuchi,52.2667,79.1667,4.2,80,100,5.45,RU,1699739894
337,north ward,-19.2454,146.8075,25.95,61,40,3.6,AU,1699739895
338,nowshahr,36.649,51.496,13.97,100,20,0.0,IR,1699739896
339,la rinconada,37.4873,-5.9826,18.36,83,93,1.19,ES,1699739896
340,djibo,14.1022,-1.6306,29.32,11,75,2.93,BF,1699739897
341,fauske,67.2588,15.3918,1.02,78,1,4.52,NO,1699739897
342,arteche,12.2645,125.4048,26.15,86,70,1.7,PH,1699739898
343,kanniyakumari,8.0833,77.5667,24.91,87,100,7.54,IN,1699739898
344,kruisfontein,-34.0033,24.7314,14.96,76,6,7.43,ZA,1699739752
345,uturoa,-16.7333,-151.4333,27.39,80,96,5.12,PF,1699739899
346,margate,51.3813,1.3862,4.94,72,76,2.13,GB,1699739900
347,urangan,-25.3,152.9,23.05,62,12,4.21,AU,1699739900
348,tolanaro,-25.0319,46.9987,22.04,68,20,5.14,MG,1699739901
349,pisco,-13.7,-76.2167,23.03,68,20,7.2,PE,1699739902
350,alofi,-19.0595,-169.9187,22.94,94,100,8.75,NU,1699739903
351,general pico,-35.6566,-63.7568,25.38,44,1,1.29,AR,1699739903
352,natal,-5.795,-35.2094,27.12,69,20,6.17,BR,1699739619
353,xining,36.6167,101.7667,-3.66,58,30,0.25,CN,1699739904
354,goure,13.9835,10.2704,27.29,19,82,3.26,NE,1699739905
355,grand falls-windsor,48.9332,-55.6649,1.39,88,100,0.89,CA,1699739905
356,turpan,42.9333,89.1667,5.69,33,13,0.35,CN,1699739906
357,atamanovka,51.93,113.63,-12.76,98,43,1.31,RU,1699739906
358,northam,51.0333,-4.2167,9.25,87,100,6.49,GB,1699739907
359,hammerfest,70.6634,23.6821,-2.75,74,0,1.03,NO,1699739907
360,franklin,39.9667,-83.0166,9.35,61,100,4.12,US,1699739908
361,piti village,13.4626,144.6933,29.61,77,0,6.69,GU,1699739908
362,shevchenko,48.5,35.0,10.92,88,100,9.85,UA,1699739909
363,mucuri,-18.0864,-39.5508,25.85,74,2,7.34,BR,1699739909
364,dzhangala,49.2167,50.3333,3.17,79,9,1.08,KZ,1699739910
365,xapuri,-10.6517,-68.5044,34.19,36,93,1.52,BR,1699739910
